example_id                                                         | status  | run_time              |
./spec/features/admin/poll/polls_spec.rb[1:7:1:1]                  | passed  | 0.46094 seconds       |
./spec/features/admin/poll/polls_spec.rb[1:7:1:2]                  | passed  | 0.37471 seconds       |
./spec/features/admin/poll/polls_spec.rb[1:8:1:1]                  | passed  | 1.38 seconds          |
./spec/features/admin/poll/polls_spec.rb[1:8:1:2]                  | passed  | 1.49 seconds          |
./spec/features/admin/poll/polls_spec.rb[1:9:1:1]                  | passed  | 1.03 seconds          |
./spec/features/admin/poll/polls_spec.rb[1:9:1:2]                  | passed  | 1.96 seconds          |
./spec/features/admin/poll/polls_spec.rb[1:9:1:3]                  | passed  | 1.89 seconds          |
./spec/features/admin/poll/polls_spec.rb[1:10:1:1]                 | passed  | 1.27 seconds          |
./spec/features/admin/poll/polls_spec.rb[1:10:1:2]                 | passed  | 1.78 seconds          |
./spec/features/admin/poll/polls_spec.rb[1:11:1:1]                 | passed  | 1.15 seconds          |
./spec/features/admin/poll/polls_spec.rb[1:11:1:2]                 | passed  | 1.42 seconds          |
./spec/features/admin/poll/questions_spec.rb[1:1]                  | passed  | 0.30475 seconds       |
./spec/features/admin/poll/questions_spec.rb[1:2]                  | passed  | 0.30238 seconds       |
./spec/features/admin/poll/questions_spec.rb[1:3]                  | passed  | 0.56574 seconds       |
./spec/features/admin/poll/questions_spec.rb[1:4]                  | passed  | 0.62459 seconds       |
./spec/features/admin/poll/questions_spec.rb[1:5]                  | pending | 0.00002 seconds       |
./spec/features/admin/poll/questions_spec.rb[1:6]                  | passed  | 0.63253 seconds       |
./spec/features/admin/poll/questions_spec.rb[1:7]                  | passed  | 0.43377 seconds       |
./spec/features/admin/poll/questions_spec.rb[1:8]                  | pending | 0.00002 seconds       |
./spec/features/admin/proposals_spec.rb[1:1]                       | passed  | 0.34747 seconds       |
./spec/features/admin/proposals_spec.rb[1:2]                       | passed  | 0.57772 seconds       |
./spec/features/admin/proposals_spec.rb[1:3]                       | passed  | 0.43382 seconds       |
./spec/features/admin/proposals_spec.rb[1:4]                       | passed  | 0.67909 seconds       |
./spec/features/admin/proposals_spec.rb[1:5]                       | passed  | 0.46446 seconds       |
./spec/features/admin/proposals_spec.rb[1:6]                       | passed  | 1.1 seconds           |
./spec/features/admin/settings_spec.rb[1:1]                        | passed  | 0.38723 seconds       |
./spec/features/admin/settings_spec.rb[1:2]                        | passed  | 0.42227 seconds       |
./spec/features/admin/signature_sheets_spec.rb[1:1]                | passed  | 0.41898 seconds       |
./spec/features/admin/signature_sheets_spec.rb[1:2:1]              | passed  | 0.58656 seconds       |
./spec/features/admin/signature_sheets_spec.rb[1:2:2]              | failed  | 0.55085 seconds       |
./spec/features/admin/signature_sheets_spec.rb[1:3]                | passed  | 0.32114 seconds       |
./spec/features/admin/signature_sheets_spec.rb[1:4]                | passed  | 0.41232 seconds       |
./spec/features/admin/spending_proposals_spec.rb[1:1:1]            | passed  | 0.19371 seconds       |
./spec/features/admin/spending_proposals_spec.rb[1:2:1]            | passed  | 0.4798 seconds        |
./spec/features/admin/spending_proposals_spec.rb[1:2:2]            | passed  | 0.5556 seconds        |
./spec/features/admin/spending_proposals_spec.rb[1:2:3]            | passed  | 3.99 seconds          |
./spec/features/admin/spending_proposals_spec.rb[1:2:4]            | passed  | 3.58 seconds          |
./spec/features/admin/spending_proposals_spec.rb[1:2:5]            | passed  | 4.12 seconds          |
./spec/features/admin/spending_proposals_spec.rb[1:2:6]            | passed  | 0.8474 seconds        |
./spec/features/admin/spending_proposals_spec.rb[1:2:7]            | passed  | 0.87186 seconds       |
./spec/features/admin/spending_proposals_spec.rb[1:2:8]            | passed  | 0.74385 seconds       |
./spec/features/admin/spending_proposals_spec.rb[1:2:9]            | passed  | 1.17 seconds          |
./spec/features/admin/spending_proposals_spec.rb[1:3]              | passed  | 0.61498 seconds       |
./spec/features/admin/spending_proposals_spec.rb[1:4:1]            | passed  | 0.62927 seconds       |
./spec/features/admin/spending_proposals_spec.rb[1:4:2]            | passed  | 0.76199 seconds       |
./spec/features/admin/spending_proposals_spec.rb[1:4:3]            | passed  | 0.68423 seconds       |
./spec/features/admin/spending_proposals_spec.rb[1:4:4]            | passed  | 2.12 seconds          |
./spec/features/admin/spending_proposals_spec.rb[1:4:5]            | passed  | 0.60101 seconds       |
./spec/features/admin/spending_proposals_spec.rb[1:4:6]            | passed  | 0.46975 seconds       |
./spec/features/admin/spending_proposals_spec.rb[1:5:1]            | passed  | 0.50779 seconds       |
./spec/features/admin/spending_proposals_spec.rb[1:5:2]            | passed  | 0.64135 seconds       |
./spec/features/admin/spending_proposals_spec.rb[1:5:3]            | passed  | 0.57431 seconds       |
./spec/features/admin/spending_proposals_spec.rb[1:5:4]            | passed  | 0.52319 seconds       |
./spec/features/admin/spending_proposals_spec.rb[1:5:5]            | passed  | 0.64949 seconds       |
./spec/features/admin/spending_proposals_spec.rb[1:5:6:1]          | passed  | 0.63913 seconds       |
./spec/features/admin/stats_spec.rb[1:1:1]                         | passed  | 0.59808 seconds       |
./spec/features/admin/stats_spec.rb[1:1:2]                         | passed  | 0.72964 seconds       |
./spec/features/admin/stats_spec.rb[1:1:3]                         | passed  | 0.51724 seconds       |
./spec/features/admin/stats_spec.rb[1:2]                           | passed  | 0.82129 seconds       |
./spec/features/admin/stats_spec.rb[1:3:1]                         | passed  | 0.46269 seconds       |
./spec/features/admin/stats_spec.rb[1:3:2]                         | passed  | 0.48553 seconds       |
./spec/features/admin/stats_spec.rb[1:4:1]                         | passed  | 0.47252 seconds       |
./spec/features/admin/tags_spec.rb[1:1]                            | passed  | 0.33789 seconds       |
./spec/features/admin/tags_spec.rb[1:2]                            | passed  | 0.64278 seconds       |
./spec/features/admin/tags_spec.rb[1:3]                            | passed  | 0.504 seconds         |
./spec/features/admin/tags_spec.rb[1:4]                            | passed  | 0.48566 seconds       |
./spec/features/admin/tags_spec.rb[1:5]                            | passed  | 0.55819 seconds       |
./spec/features/admin/users_spec.rb[1:1]                           | passed  | 0.37561 seconds       |
./spec/features/admin/users_spec.rb[1:2]                           | passed  | 0.31636 seconds       |
./spec/features/admin/users_spec.rb[1:3]                           | passed  | 0.34176 seconds       |
./spec/features/admin/users_spec.rb[1:4]                           | passed  | 0.36985 seconds       |
./spec/features/admin/users_spec.rb[1:5]                           | passed  | 0.29968 seconds       |
./spec/features/admin/users_spec.rb[1:6]                           | passed  | 0.70611 seconds       |
./spec/features/admin/valuators_spec.rb[1:1]                       | passed  | 0.42535 seconds       |
./spec/features/admin/valuators_spec.rb[1:2]                       | passed  | 1.47 seconds          |
./spec/features/admin/verifications_spec.rb[1:1]                   | passed  | 0.34519 seconds       |
./spec/features/admin/verifications_spec.rb[1:2]                   | passed  | 0.38298 seconds       |
./spec/features/admin/verifications_spec.rb[1:3]                   | passed  | 0.25456 seconds       |
./spec/features/admin/verifications_spec.rb[1:4]                   | passed  | 0.21954 seconds       |
./spec/features/admin/verifications_spec.rb[1:5]                   | passed  | 0.25703 seconds       |
./spec/features/admin_spec.rb[1:1]                                 | passed  | 0.39588 seconds       |
./spec/features/admin_spec.rb[1:2]                                 | passed  | 0.32035 seconds       |
./spec/features/admin_spec.rb[1:3]                                 | passed  | 0.3043 seconds        |
./spec/features/admin_spec.rb[1:4]                                 | passed  | 0.32343 seconds       |
./spec/features/admin_spec.rb[1:5]                                 | passed  | 0.34849 seconds       |
./spec/features/admin_spec.rb[1:6]                                 | passed  | 0.20334 seconds       |
./spec/features/admin_spec.rb[1:7]                                 | passed  | 0.31218 seconds       |
./spec/features/admin_spec.rb[1:8]                                 | passed  | 0.35795 seconds       |
./spec/features/budgets/ballots_spec.rb[1:1:1:1]                   | failed  | 0.25778 seconds       |
./spec/features/budgets/ballots_spec.rb[1:1:1:2]                   | failed  | 0.24181 seconds       |
./spec/features/budgets/ballots_spec.rb[1:1:1:3]                   | failed  | 0.36435 seconds       |
./spec/features/budgets/ballots_spec.rb[1:1:1:4]                   | failed  | 0.36 seconds          |
./spec/features/budgets/ballots_spec.rb[1:1:2:1]                   | failed  | 3.31 seconds          |
./spec/features/budgets/ballots_spec.rb[1:1:2:2]                   | failed  | 3.22 seconds          |
./spec/features/budgets/ballots_spec.rb[1:1:3:1]                   | failed  | 3.08 seconds          |
./spec/features/budgets/ballots_spec.rb[1:1:4]                     | failed  | 3.05 seconds          |
